J14301603+2303445UT 2023/01/06 COS/FUV G140L 4686.784 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
     --------------            ------------------             -----------------------
     650.3735410257786         0.0                            0.0
     650.447359111158         0.0                            0.0
     650.5211771965372         0.0                            0.0
     650.5949952819166         0.0                            0.0
     650.6688133672958         0.0                            0.0
     650.742631452675         0.0                            0.0
     650.8164495380544         0.0                            0.0
     650.8902676234337         0.0                            0.0
     650.964085708813         0.0                            0.0
     651.0379037941923         0.0                            0.0
     651.1117218795716         0.0                            0.0
     651.1855399649509         0.0                            0.0
     651.2593580503301         0.0                            0.0
     651.3331761357094         0.0                            0.0
     651.4069942210887         0.0                            0.0
     651.480812306468         0.0                            0.0
     651.5546303918472         0.0                            0.0
     651.6284484772266         0.0                            0.0
     651.7022665626059         0.0                            0.0
     651.7760846479852         0.0                            0.0
     651.8499027333644         0.0                            0.0
     651.9237208187437         0.0                            0.0
     651.997538904123         0.0                            0.0
     652.0713569895023         0.0                            0.0
     652.1451750748816         0.0                            0.0
     652.2189931602609         0.0                            0.0
     652.2928112456402         0.0                            0.0
     652.3666293310196         0.0                            0.0
     652.4404474163988         0.0                            0.0
     652.514265501778         0.0                            0.0
     652.5880835871574         0.0                            0.0
     652.6619016725366         0.0                            0.0
     652.735719757916         0.0                            0.0
     652.8095378432953         0.0                            0.0
     652.8833559286745         0.0                            0.0
     652.9571740140539         0.0                            0.0
     653.0309920994332         0.0                            0.0
     653.1048101848123         0.0                            0.0
     653.1786282701917         0.0                            0.0
     653.252446355571         0.0                            0.0
     653.3262644409502         0.0                            0.0
     653.4000825263296         0.0                            0.0
     653.4739006117088         0.0                            0.0
     653.5477186970882         0.0                            0.0
     653.6215367824675         0.0                            0.0
     653.6953548678466         0.0                            0.0
     653.769172953226         0.0                            0.0
     653.8429910386053         0.0                            0.0
     653.9168091239845         0.0                            0.0
     653.9906272093639         0.0                            0.0
     654.0644452947432         0.0                            0.0
     654.1382633801225         0.0                            0.0
     654.2120814655018         0.0                            0.0
     654.285899550881         0.0                            0.0
     654.3597176362603         0.0                            0.0
     654.4335357216396         0.0                            0.0
     654.507353807019         0.0                            0.0
     654.5811718923982         0.0                            0.0
     654.6549899777775         0.0                            0.0
     654.7288080631569         0.0                            0.0
     654.8026261485361         0.0                            0.0
     654.8764442339154         0.0                            0.0
     654.9502623192947         0.0                            0.0
     655.0240804046739         0.0                            0.0
     655.0978984900532         0.0                            0.0
     655.1717165754326         0.0                            0.0
     655.2455346608118         0.0                            0.0
     655.3193527461912         0.0                            0.0
     655.3931708315704         0.0                            0.0
     655.4669889169497         0.0                            0.0
     655.540807002329         0.0                            0.0
     655.6146250877082         0.0                            0.0
     655.6884431730875         0.0                            0.0
     655.7622612584669         0.0                            0.0
     655.8360793438461         0.0                            0.0
     655.9098974292255         0.0                            0.0
     655.9837155146048         0.0                            0.0
     656.057533599984         0.0                            0.0
     656.1313516853633         0.0                            0.0
     656.2051697707426         0.0                            0.0
     656.2789878561218         0.0                            0.0
     656.3528059415012         0.0                            0.0
     656.4266240268805         0.0                            0.0
     656.5004421122597         0.0                            0.0
     656.5742601976391         0.0                            0.0
     656.6480782830184         0.0                            0.0
     656.7218963683977         0.0                            0.0
     656.7957144537769         0.0                            0.0
     656.8695325391562         0.0                            0.0
     656.9433506245355         0.0                            0.0
     657.0171687099148         0.0                            0.0
     657.0909867952942         0.0                            0.0
     657.1648048806734         0.0                            0.0
     657.2386229660527         0.0                            0.0
     657.3124410514321         0.0                            0.0
     657.3862591368112         0.0                            0.0
     657.4600772221905         0.0                            0.0
     657.5338953075698         0.0                            0.0
     657.6077133929491         0.0                            0.0
     657.6815314783285         0.0                            0.0
     657.7553495637077         0.0                            0.0
     657.829167649087         0.0                            0.0
     657.9029857344664         0.0                            0.0
     657.9768038198456         0.0                            0.0
     658.0506219052248         0.0                            0.0
     658.1244399906042         0.0                            0.0
     658.1982580759834         0.0                            0.0
     658.2720761613627         0.0                            0.0
     658.3458942467421         0.0                            0.0
     658.4197123321213         0.0                            0.0
     658.4935304175007         0.0                            0.0
     658.5673485028799         0.0                            0.0
     658.6411665882591         0.0                            0.0
     658.7149846736385         0.0                            0.0
     658.7888027590178         0.0                            0.0
     658.862620844397         0.0                            0.0
     658.9364389297764         0.0                            0.0
     659.0102570151557         0.0                            0.0
     659.084075100535         0.0                            0.0
     659.1578931859143         0.0                            0.0
     659.2317112712935         0.0                            0.0
     659.3055293566728         0.0                            0.0
     659.3793474420521         0.0                            0.0
     659.4531655274313         0.0                            0.0
     659.5269836128107         0.0                            0.0
     659.60080169819         0.0                            0.0
     659.6746197835693         0.0                            0.0
     659.7484378689486         0.0                            0.0
     659.8222559543278         0.0                            0.0
     659.8960740397071         0.0                            0.0
     659.9698921250864         0.0                            0.0
     660.0437102104657         0.0                            0.0
     660.117528295845         0.0                            0.0
     660.1913463812243         0.0                            0.0
     660.2651644666037         0.0                            0.0
     660.3389825519829         0.0                            0.0
     660.4128006373622         0.0                            0.0
     660.4866187227415         0.0                            0.0
     660.5604368081207         0.0                            0.0
     660.6342548935         0.0                            0.0
     660.7080729788794         0.0                            0.0
     660.7818910642586         0.0                            0.0
     660.855709149638         0.0                            0.0
     660.9295272350173         0.0                            0.0
     661.0033453203965         0.0                            0.0
     661.0771634057758         0.0                            0.0
     661.1509814911551         0.0                            0.0
     661.2247995765343         0.0                            0.0
     661.2986176619137         0.0                            0.0
     661.3724357472929         0.0                            0.0
     661.4462538326723         0.0                            0.0
     661.5200719180516         0.0                            0.0
     661.5938900034308         0.0                            0.0
     661.6677080888101         0.0                            0.0
     661.7415261741894         0.0                            0.0
     661.8153442595686         0.0                            0.0
     661.889162344948         0.0                            0.0
     661.9629804303273         0.0                            0.0
